,ACC,ADANIENT,ADANIPORTS,AMARAJABAT,AMBUJACEM,APOLLOHOSP,APOLLOTYRE,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BANKBARODA,BATAINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,ZYDUSLIFE,CANBK,CIPLA,COALINDIA,COLPAL,CONCOR,DABUR,DIVISLAB,DLF,DRREDDY,EICHERMOT,EXIDEIND,FEDERALBNK,GAIL,GLENMARK,GMRINFRA,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,IBULHSGFIN,ICICIBANK,IDEA,IGL,INDUSINDBK,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,L&TFH,LICHSGFIN,LT,LUPIN,M&M,M&MFIN,MARICO,MARUTI,MINDTREE,MOTHERSUMI,MRF,NMDC,NTPC,ONGC,PAGEIND,PETRONET,PFC,PIDILITIND,PNB,POWERGRID,RECLTD,RELIANCE,SAIL,SBIN,SIEMENS,SRF,SRTRANSFIN,SUNPHARMA,SUNTV,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,TVSMOTOR,UBL,ULTRACEMCO,UPL,VEDL,VOLTAS,WIPRO,ZEEL,AARTIIND,ABB,ABBOTINDIA,ABCAPITAL,ABFRL,ALKEM,APLLTD,ASTRAL,ATUL,AUBANK,BAJAJFINSV,BALKRISIND,BALRAMCHIN,BANDHANBNK,BERGEPAINT,BSOFT,CANFINHOME,CHAMBLFERT,CHOLAFIN,COFORGE,COROMANDEL,CROMPTON,CUB,CUMMINSIND,DALBHARAT,DEEPAKNTR,DELTACORP,DIXON,ESCORTS,FSL,GNFC,GODREJPROP,GRANULES,GSPL,GUJGASLTD,HAL,HDFCAMC,HDFCLIFE,HINDCOPPER,HONAUT,ICICIGI,ICICIPRULI,IDFC,IDFCFIRSTB,IEX,INDHOTEL,INDIACEM,INDIAMART,INDIGO,INDUSTOWER,INTELLECT,IPCALAB,IRCTC,JKCEMENT,LALPATHLAB,LAURUSLABS,LTI,LTTS,MANAPPURAM,MCDOWELL-N,MCX,METROPOLIS,MFSL,MGL,MPHASIS,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAUKRI,NAVINFLUOR,NBCC,NESTLEIND,OBEROIRLTY,OFSS,PEL,PERSISTENT,PFIZER,PIIND,POLYCAB,PVR,RAIN,RAMCOCEM,RBLBANK,SBICARD,SBILIFE,SHREECEM,STAR,SYNGENE,TATACOMM,TATACONSUM,TORNTPOWER,TRENT,WHIRLPOOL
11-Mar-22,2041.9,1734.1,729.45,575.25,293.45,4854.1,184.25,105.9,2932,642.25,690.85,3423,6628,104.4,1807.8,214.8,632.35,694.85,51.9,331.95,14213.9,362,3199.9,370.65,217.95,1043.95,181.75,1498.5,596.4,547.55,4339.4,353.75,3975.6,2290.75,153.65,95.3,152.4,453.3,39.35,709.45,1566.25,1092.6,1193.45,2230,1396.8,2331.2,589.1,294.3,2094.4,150.95,677.9,10.4,378.15,901.75,1822,123.7,236.35,479.25,669.75,2864.6,1763,66.9,355.2,1728.65,747.9,734.8,145.15,507.55,7102.55,4088,131.55,67898.3,157.3,131.95,175.7,41488.85,209.6,112.45,2338.15,36.25,212.45,125.7,2399.15,99.65,470.35,2360.1,2250.75,1090.95,902,455,927.25,418.15,233.15,1301.7,3599.15,1486.8,2493.6,2823.25,581.6,1429.1,6021,725.45,378.2,1202.85,586.2,242.45,845.2,2119.95,17268.65,103.45,279.35,3381,733.8,1955.7,9537.3,1193.05,15569,1970.25,487.35,262.9,679.25,453.25,586.9,423,671.45,4298.3,778.15,403.7,123.1,995.65,1429.85,2050.65,282,4153.95,1818.2,124.15,708.85,1492.8,308.2,267.55,510.7,1385.1,2167.8,518.8,123.7,39919.5,1256,463.05,56.6,42.4,225.15,203,204.9,4477.4,1820.8,214.2,737.85,1018.85,757.75,2296.1,2637.55,578,6224.2,4938.9,116.85,851.85,1388.65,1895.9,787.6,750,3285.9,1382,311.95,121.9,4615,3856.4,39.55,17327.45,916.45,3468.55,2026.65,4358.65,4473.5,2580.7,2344.8,1686.9,180.85,737.15,133.85,806.3,1058.5,22394.6,328.6,578.8,1146.65,716.45,480.85,1168.8,1573.9
14-Mar-22,2058.05,1736.1,730.55,575.5,291.2,4923.5,183.9,107.3,2962.8,631.3,710.05,3452.55,6665.45,106.9,1844.3,209.8,649.45,700.4,51.05,328.7,14022.95,359.65,3185.85,365.35,221.15,1048.65,180.35,1518.9,599.05,540.6,4393.8,343.4,3957.3,2313.55,154.65,94.9,152.35,447.05,38.75,710,1577.5,1095.7,1202.85,2275.7,1442.55,2341.9,590.8,279.2,2059.3,150.4,696.15,10.2,398.2,907.6,1890.7,120.8,239,476.35,664.85,2514,1788.75,66.3,351.95,1746.75,745.2,743.2,147.1,507.1,7316.75,4125.05,128.2,68372.35,156.25,132.15,171.8,41686.7,205.55,111.95,2344.7,36.8,213.4,123.75,2418.85,99.3,485.15,2359.8,2355.4,1112.7,892.25,463.7,931.85,411.7,231.55,1297,3643,1503,2539,2829,592.25,1444.75,6035.9,730.75,375.8,1191.45,598.15,259.2,870.6,2078.5,17041.45,103.95,276.85,3380.8,728.7,1973.45,9499.15,1121.1,15678.5,1977.25,502.05,264.95,677.35,452.25,591.6,421.05,679.25,4375.2,766.9,404.6,120.35,1031.35,1407.4,2207.65,287.25,4336.6,1808.35,124.8,730.25,1487.35,302.85,265.6,511,1381.25,2154.65,512.45,119.5,40214.05,1257.1,463.4,57.45,41.9,219.5,204.55,203.55,4413.55,1838.8,214.25,734.4,1012.2,752.85,2276.7,2629.95,579.15,6272.35,4969.7,114.65,854.9,1406.1,1884.55,779.4,793.4,3313.15,1355.95,322.1,117.75,4526.7,3877.1,38.9,17367.2,897.9,3523.7,2036.1,4475.1,4373.5,2679.7,2340.15,1724.25,184.65,726.85,133.15,816.7,1069.7,22361.45,323.05,575.25,1146.85,722.25,484.75,1167.1,1554.5
15-Mar-22,2060.35,1701.4,721.3,569.95,295.1,4812.95,184.1,109.95,2987.15,621.75,698.15,3454.05,6666.55,105.9,1836.45,205.55,653,703.1,50.2,327.45,13921.45,350.3,3222.85,369.6,218.9,1068.05,172.9,1518.5,589.95,556.65,4386.25,341.15,3899.85,2305.25,154,93.45,148.45,444.05,37.6,724.6,1564.25,1082.05,1176.85,2240.85,1424,2318.4,559.75,273.55,2038.2,156.35,697.35,10,382.3,896.65,1839.3,119,237.85,452.5,641.15,2524.05,1733.75,64.65,346.2,1743.45,737.95,761.2,148.6,511.45,7420.1,3884.15,133.65,68085,147.55,131.05,163.75,41230.7,202.45,110.85,2370.55,36,209.65,122.05,2363.45,94.9,485.85,2315.6,2420,1090.15,891.65,450.15,920.65,413.65,227.4,1233.75,3593.9,1458.6,2556.95,2870.6,594.8,1431.5,6021.25,741,357.7,1211.95,587.7,253.95,859.4,2091.7,17203.95,104.7,273.15,3374.6,732.55,1969.8,9722.5,1169.5,15708.9,2005.2,466.7,281.15,695.45,436.9,578.8,406.4,685.8,4151.6,777.55,393.05,119.65,1030.95,1423.8,2200.25,277.4,4284.2,1809.8,122.85,697.3,1470.95,302.6,259.3,511.05,1376.8,2132.15,504.7,114.15,40238.8,1210.7,458,55.75,40.7,218.6,201.75,205.85,4351.85,1832.55,209.6,713.8,993.15,756.4,2303.2,2618.55,568.85,6037.8,4753.85,113.75,858.25,1369.9,1874.25,774.4,753.5,3187.2,1333.35,315.85,113.65,4442.3,3948.4,37.7,17461.6,889.65,3456.4,2071.25,4326.9,4400.3,2649.15,2395.6,1671.7,178.45,725.9,129.25,819.15,1070.55,22800.5,314.7,571.8,1124.65,748.6,477.3,1158.25,1557
16-Mar-22,2129.15,1758,723.8,581.65,309.35,4943.65,186.55,115.5,3042,637.5,723.85,3569.8,6840.6,107.7,1911.5,209,674.95,712,51.2,329.2,14081.6,356.3,3313.65,375.15,224.4,1055.8,176.9,1530.65,616.05,564.7,4402.25,355.5,3943.8,2357.9,156.3,98.35,152.4,446.85,38.5,747.25,1604.05,1136.35,1199.5,2292.1,1448.15,2369.5,572.7,278.35,2072.15,156.9,708,10.3,390.55,928.65,1889.4,121.95,242.6,465.1,655.25,2563.45,1760.5,66.6,362.9,1756.2,749.6,773.65,152.8,525.45,7485.8,3948.75,133.3,68370.45,150.55,132.75,167.3,42354.95,204.9,112.45,2462.9,35.9,209.35,123.4,2403.35,97.2,492.75,2359.2,2469.2,1109.5,889.2,458,938.05,424.9,230.45,1265.25,3655.9,1489.9,2587.3,2850,609.7,1465.25,6305.9,752.45,373.35,1270.75,598.25,254.15,859.45,2190.95,17322.4,108.55,278.3,3414.9,734.25,2039.25,9913.8,1178.85,16124.85,2059.1,485.5,294.45,705.8,442.5,600.35,402.2,697.4,4350.45,799.8,393.5,120.45,1026.5,1473.6,2222.85,283.05,4413.2,1827.35,125.45,707.75,1526.35,306.2,262.5,502.95,1462.15,2209.2,517.3,115.25,39961.7,1219.2,468.5,58.95,42,222.75,210.8,212.35,4464.6,1899.8,214.45,761.8,1000.1,768.25,2486.4,2699.4,579,6025.7,4754.9,116.75,877.25,1412.8,1972.65,780.9,768.85,3098,1331.05,335.7,117,4474.5,3954.3,38.6,17823.4,926.55,3533.3,2161.4,4428.45,4344.75,2728.6,2418.5,1723.2,183.25,749.85,133.3,836.4,1085.75,23595.45,329.4,572.15,1169.25,747.85,486.1,1171.25,1580.95
17-Mar-22,2122.65,1819.65,740.1,579.75,306.2,4839.9,193.75,114.45,3136.6,640.35,739.25,3650.45,6994.4,107.95,1941.4,209.4,681.9,722.9,51.4,331.45,14585.75,364.2,3355.95,373.3,226.05,1048.5,176.55,1533.75,616.1,560.25,4504.35,363.05,4042.15,2436.95,156.3,98.05,151.3,443.85,38.15,746.5,1619.85,1147.1,1196.9,2415.25,1480.05,2419.9,576.8,281.45,2102.05,161.1,720.1,10.25,391.95,932.45,1854.6,121.35,244.9,477.15,685.1,2560.85,1820,71.35,364.85,1787.9,765.35,794.4,158,524.1,7693,3986.85,136.95,68957.8,151.3,132.9,170.3,42674.1,206.45,116.35,2510.4,36,211.55,125.75,2481.7,98.1,501.9,2380.95,2588.2,1129.55,911.6,469.35,939.5,433.8,231.75,1303.45,3672.75,1493.5,2703,2874.6,611.7,1482.9,6373.6,761.6,378.45,1296.4,601.2,258.8,891.6,2101.35,17257.9,109.85,285.25,3438.95,726.4,2029.95,9738.9,1163.4,16370.8,2132.5,479.35,301.5,717.95,443.95,609.75,418.15,719.85,4411.05,849.45,390.5,120.65,1023.3,1460.25,2228.9,285.35,4478.6,1837.5,125.65,759.3,1596.4,305.65,260.65,504.8,1445.8,2238,530.15,117.5,39412.9,1269.4,492.3,60.65,42.7,223.15,208.5,214.5,4494.6,1897.05,214.7,767.05,1033.7,770.45,2515,2756.2,581.05,6113.85,4732.85,118.2,919.55,1426.65,1996.35,805.1,768.55,3106.9,1337.05,337.95,116.75,4578.65,4087.4,38.85,18284.2,912.9,3553.55,2286.05,4484.95,4388,2815.35,2437.85,1706.75,184.85,759.2,136.45,854.45,1128.55,24090.2,333.35,592.3,1157.35,772.3,483.2,1262.05,1646
21-Mar-22,2055.75,1802.95,735.15,579.95,300.35,4767.4,188.55,110.8,3045.75,679.4,725.9,3589.05,6870.4,106.5,1956.35,208.9,669.05,708.2,50.7,329.8,14249,357.2,3237.55,366.4,224.95,1050.3,182.3,1521.2,614.9,549.55,4456.25,353.9,4004.95,2378.75,154.85,97.35,144.3,455.75,37.4,722.25,1569.45,1137.15,1168.05,2391.9,1486.5,2391.55,589.95,276.2,2051.2,157.3,710.75,10.05,374.2,913.4,1853.05,118,244.5,487.6,681.3,2552.65,1777.1,72.4,357.85,1756.3,755.15,783.5,157.3,504.35,7705.55,3975.95,133.3,66876.35,151.55,132.9,172.55,41826.2,194.85,115.35,2485.25,35.7,204.9,124.6,2467.4,99.4,490.6,2348.9,2605.45,1086.4,913.8,465.85,939.25,427.95,227.95,1302.95,3626.7,1479.8,2707.25,2763.6,608.7,1445.7,6191.25,775.9,400.05,1288.7,600,256.8,911.35,2091.45,17251.9,107.8,286.5,3496.85,753.85,2019.45,9841.9,1177.75,16180.8,2055.35,499.55,294.95,693.55,443.75,600.2,431.65,697.85,4433.9,854.75,394.2,119.8,1054,1425.15,2269.8,312.75,4508.4,1847.15,123.4,762.45,1607.8,313.75,269.55,499.7,1446.2,2152.85,522.35,117,39557.45,1240.55,477.45,60.9,41.85,220.95,206,209.85,4431,1814.05,209.95,802.9,1003,770.75,2452.15,2663.6,592.35,5992.4,4788.1,116.4,904.95,1439.3,2008.3,778.55,763.2,3103.9,1354.55,336.8,122.8,4643.1,4122.6,38.9,17876.45,910.9,3545.3,2234.6,4430.7,4506.95,2784.05,2438.4,1754.05,183.7,742,133.3,842.15,1095.8,23390.3,352.1,583.95,1147.8,747.8,482.2,1279.6,1636.95
22-Mar-22,2058.3,1831.55,739.15,578.65,300.9,4677.6,190.05,112.2,3051.15,687.5,731.4,3656.45,6985.8,106.8,1936.05,209.8,689.5,719.25,51,334.7,14306.75,368.4,3158.4,360.1,226,1032.6,183.35,1505.1,615.2,534,4448.55,358.65,4030.35,2380.4,154.85,98.85,143.45,450.05,38.05,699.3,1582.5,1124.95,1176.4,2402.75,1494.15,2423.65,593.45,280.15,1993.5,154.45,718.2,10.05,370.9,927.7,1887.4,120.65,249.75,493.1,696.5,2621.35,1807.85,75.1,366.8,1774.05,757.25,785.6,160.4,492.1,7766.65,4034.4,136.4,67096.6,151.65,132.85,175.45,41790.1,194.7,116.45,2450.35,35.6,208.7,125.6,2531.15,99.5,493.7,2319.15,2630.45,1098.15,914.1,459.85,954.7,440.35,231.4,1302,3700.95,1538.2,2712.75,2762.2,612.55,1435.3,6211.6,780.95,404.05,1283.25,610.05,248.55,908.35,2077.15,16685.6,108.95,288.7,3550.55,735.7,2019.65,9972.25,1196.05,16494.6,2050.45,491.4,303.3,697.65,465.9,601.55,436.25,711.95,4457.7,830.8,387.3,120,1051.85,1422.45,2255.45,304.55,4374,1840.65,125.6,799.45,1578.95,312.45,268.3,491.9,1414.75,2160.35,529.3,118.2,39328.15,1250.4,481.75,60.2,40.6,221.95,208.75,211.8,4485,1836.25,211.85,818.7,999.75,765.8,2382.9,2652.6,594.05,6117.55,4878.55,116.65,916.15,1419.5,2002.85,784.05,753.05,3186.65,1369,334.8,122.2,4760.45,4062.35,38.75,17429.25,913.55,3597.3,2202.15,4541.8,4435.65,2777.75,2425.9,1749.1,194.35,739.05,134.8,847.3,1097.65,23373.3,350,588.5,1142.7,752.9,485.4,1286.35,1600.15
23-Mar-22,2069.75,1811,733.75,576.6,297.85,4608.2,189.15,112.15,3016.8,692.5,726.75,3601.5,7004.8,106.25,1925.7,207.4,680.85,704.95,51.25,337.2,14188.85,366.6,3102.25,367.8,225.3,1014.45,183.05,1527.8,614.95,522.85,4553.55,356.95,4127.3,2394.1,154.45,98.55,143.6,453.75,37.2,694.35,1582.1,1141.35,1180.7,2346.3,1479.25,2394.65,608.45,284.65,1978.55,155.8,718.3,10,373.85,931.35,1872.4,121.7,252,510.8,704.4,2651.3,1769.75,87.25,366.3,1767.25,746.3,774.1,158.9,484.6,7644.85,4102.6,135.05,66844.7,151.1,133.45,175.6,42024.55,196.05,116,2433.9,35.7,210.1,126.3,2539.2,103.1,490.65,2296.05,2595.2,1096.2,900.8,458.55,962,435.8,234.3,1331,3712.4,1542.15,2690,2831.1,611.15,1437.1,6234,793.95,408.65,1304.85,611.2,256.05,912.55,2050.8,16642.05,109.4,289.55,3649.25,737.1,2003.3,9686.95,1235.75,16407.35,2068.05,494.45,303.1,683,467.55,605,416.55,721.75,4435.45,822.55,386.75,125.6,1087.05,1412.5,2220.55,306.15,4386.4,1856.4,125.8,776.9,1558.5,310.95,269.9,500.65,1407.1,2218.95,525.85,117.95,39112.4,1252.5,477.6,60.3,40.75,228.8,216.1,208.95,4487.75,1832.8,213.9,837.7,991.25,766.45,2328.4,2663.1,605.8,6072.8,4897.85,117.2,904.1,1401.8,1989.25,770,771.3,3240.9,1336.5,336,123.15,4626.25,3986.55,38.95,17344.2,922.85,3559.6,2224.35,4490.8,4442,2740.7,2414,1756.8,192,730.4,134.25,863.3,1092.25,23413.2,359.55,604.55,1184.3,748.8,484.35,1300.25,1637.85
24-Mar-22,2080.4,1832.8,733.45,568,297.05,4628.55,186.65,112.05,3025.35,721.15,722.25,3583.9,6997.55,106.15,1915.35,207.5,694.25,706.35,51.35,342.3,14153.8,362.6,3103.85,367.1,225.65,1029,187.4,1508.7,621.5,523.75,4494.65,356.6,4328.5,2369.65,154.2,98,147.1,464.1,36.85,695,1599.4,1146.15,1192.1,2310.5,1442.65,2412.15,621.95,275,1965.9,157.6,704.2,10.15,377.4,924.8,1886.7,120.6,254.85,521.65,715.1,2618.95,1714.15,80.05,366.15,1771.55,774.6,765.65,157.25,482.4,7556.95,4277.5,132.3,66718.75,157.1,135.4,177.45,41383.55,197.35,116.25,2423.65,35.55,210.75,125.1,2578.65,104,487.1,2294.3,2608.1,1092.4,908.85,466,972.7,433.2,239.5,1350.55,3749.85,1568.55,2618.5,2828.4,608.95,1454,6351.85,799.1,411.15,1276.2,610.55,298.9,919.4,2038.65,16469.25,109.95,296.25,3609.5,765.35,2036.25,9877.15,1241.45,16378.7,2064.9,490,297.25,684.05,480.1,599.2,415.3,731.35,4478.95,808.85,378.25,124.05,1094,1388.45,2240.35,313.05,4323.15,1858.1,133.5,798.85,1569.65,315.95,270.85,499.65,1405.9,2180.15,522.35,117.3,38935.4,1244.15,482.9,63.95,40.05,233.7,219.1,210.1,4508,1863.1,213.8,849.6,1008.4,772.5,2310.55,2658.5,604.25,6177.35,5037.3,117.1,905.7,1422.7,2007.75,747.65,769.85,3333.25,1350.8,337.8,124.1,4529.95,3967.5,38.3,17408.1,930.6,3628.1,2246.7,4639.75,4470.7,2751.65,2405.6,1776.55,198.05,729.55,135,843.55,1088.95,23273.75,362.7,588.95,1164.85,740.5,494.4,1276.85,1630.55
25-Mar-22,2064.2,1867,743.25,556.3,297.8,4683.2,187.55,113.55,3046.95,717.6,721.25,3654.35,6973.5,108.5,1934.7,206,690.3,709.35,51.65,348.9,14052.85,360.3,3094.5,359.15,225.3,1013.5,186.1,1518.65,689.8,519.8,4454.15,365.1,4361.45,2336.85,153.45,97.5,147.65,457.55,36.7,684.85,1591.05,1148.55,1179.35,2303,1430.9,2378.4,622.7,271.4,1953,155.85,699.25,10.1,367.8,926.25,1876.55,118.8,253.35,529.65,721.35,2617.1,1722.25,83.2,365.9,1751.1,756.35,764.75,158.2,478.1,7415.45,4281.35,135.65,66501.1,157.15,134.75,175.8,40444.7,195.55,114.95,2456.45,35.4,209.65,124.25,2595.85,103.1,490.7,2273.8,2614.55,1103,902.35,467.7,975.1,432.1,241.35,1338.95,3707.45,1530.55,2523.9,2743.15,603,1449.1,6312.7,798.55,410.55,1249,603.35,295.1,923.15,1989.3,16021.85,109.2,293.85,3620.4,757.6,1957.1,10117.8,1206,16333.3,2049.55,478.55,299.95,688.6,465.9,601.15,409.85,732.25,4423.05,793.75,374.55,124.7,1086.35,1360.4,2228.35,320.15,4278.2,1798.7,132,767.95,1622.95,318.95,263.85,492.05,1394.8,2147.35,519.55,115.55,38413.35,1265.55,488.25,63.85,39.8,228.9,227.65,208.5,4453.4,1940.55,203.1,858.8,992.85,770.05,2280.95,2636.6,589.8,6183.25,4929,114.4,887.2,1443.2,1993.9,732.1,756.6,3279.15,1307.65,345.45,121.7,4495.3,3974.15,38.25,17161.2,920.85,3580.9,2202.45,4675.95,4401.35,2795.45,2446.9,1821.65,203.7,727.9,133.35,863.05,1092.6,23259.35,363.6,579.05,1166.4,733.35,485.95,1261.3,1591.7
